,account,num_trades,quantity,StdInventory,NetPosition,Unnamed: 0,ask_share,bid_share,BBO_share,both_share,mmlabel,hftlabel
639,082WF,5.333333333333333,32.0,0.4431375744563983,0.6666666666666666,378.0,8.680555555555556e-05,4.340277777777778e-05,0.0001302083333333,0.0,0,0
640,082WK7QU3,13.0,126.66666666666667,0.4936300107060354,0.647421651211086,,,,,,0,0
641,082WKF,23.666666666666668,92.83333333333333,0.26672283059874474,0.37310891868794444,379.0,0.0082465277777777,0.0081163194444444,0.0163628472222222,0.0,0,0
642,082WMGQ,3.0,5.0,0.1965255027957906,0.2,,,,,,0,0
643,082WWBGRU,272.8181818181818,663.0,0.2369022059663993,0.3361525761363138,380.0,0.0110894097222222,0.01162109375,0.0227105034722222,0.0,0,0
644,082X3QXRRVR1,6.0,11.0,0.207848580332451,0.2727272727272727,,,,,,0,0
645,082X53JHZLUPP,6.666666666666667,10.666666666666666,0.44267697627377317,0.6781609195402298,381.0,0.0028645833333333,0.0019097222222222,0.0047743055555555,0.0,0,0
646,082X5J91PYD,6.0,15.333333333333334,0.48137275963417014,0.5022222222222222,,,,,,0,0
647,082X8GJG,3.6153846153846154,10.76923076923077,0.28501174536132584,0.5579177233023387,382.0,0.0007426697530864,0.0007619598765432,0.0015046296296296,0.0,0,0
648,082XBXSH808E39Q,187.5,317.5,0.01041259662094015,0.0201917922449222,383.0,0.0171440972222222,0.018359375,0.0355034722222222,0.0,0,0
649,082XD7GNUBP,241.375,768.0,0.14303006926946207,0.205429595567844,384.0,0.0248784722222222,0.0249305555555555,0.0498090277777777,0.0,0,0
650,082XENWPUYM,2.5,6.666666666666667,0.6137346764799013,0.8119658119658119,,,,,,0,0
651,082XGRWQV,41.35064935064935,134.19480519480518,0.29933023828496286,0.37257099520071146,385.0,0.0316738153594771,0.031985294117647,0.063485498366013,0.0001736111111111,0,0
652,082XLXBAU7OU,19.333333333333332,51.666666666666664,0.1416912263788973,0.21172658351675225,386.0,0.002662037037037,0.00234375,0.005005787037037,0.0,0,0
653,082XLYK2,24.25,47.75,0.4004091728847755,0.4979166666666667,387.0,0.0038194444444444,0.0037326388888888,0.0075520833333333,0.0,0,0
654,082XR10JDVEFV,111.29411764705883,351.38235294117646,0.1542649954216185,0.17258095997818515,388.0,0.0224991732804232,0.0220196759259259,0.0400421626984127,0.0044766865079365,0,0
655,082XT61WXVRXZ5,2.0,3.0,0.8671846313473307,1.0,389.0,0.0006076388888888,8.680555555555556e-05,0.0006944444444444,0.0,0,0
656,082XY13DF6,3.1176470588235294,13.0,0.499421742071472,0.6677252198013444,390.0,0.0003399884259259,0.0003833912037037,0.0007233796296296,0.0,0,0
657,082XYLUQF2B,21.642857142857142,86.07142857142857,0.20597596006369284,0.23201210695384697,391.0,0.0003038194444444,0.0003038194444444,0.0006076388888888,0.0,0,0
658,082XZU6ZID88W4,65.0,124.0,0.0308948173345296,0.0483870967741935,392.0,0.0105034722222222,0.0104166666666666,0.0209201388888888,0.0,0,0
659,082Y1B1S4APZG,6.0,19.0,0.0407057895723194,0.0526315789473684,,,,,,0,0
660,082Y4AF9PV,19.0,40.5,0.2723533126391355,0.28054298642533937,393.0,0.0002604166666666,0.0,0.0002604166666666,0.0,0,0
661,082YB6,3.0,10.0,0.2508742994163539,0.9166666666666666,,,,,,0,0
