,account,ask_share,bid_share,BBO_share,both_share
964,300IBQWA107A0,0.0005361519607843138,0.0005923202614379085,0.0011284722222222221,0.0
965,300IHQ,0.00071875,0.0007569444444444444,0.0014756944444444444,0.0
966,300IQ69Z37HE,0.0001984126984126984,0.00018601190476190475,0.00038442460317460316,0.0
967,300IX7MJ,0.022636357060185186,0.022654441550925927,0.04525101273148148,3.978587962962963e-05
968,300JH,0.00047743055555555554,0.0006076388888888889,0.0010850694444444445,0.0
969,300JTQNERG,0.0017534722222222222,0.001722608024691358,0.00347608024691358,0.0
970,300K08V2Q6R,0.01484375,0.014670138888888889,0.029513888888888888,0.0
971,300K6Y62O1Q4,0.003218482905982906,0.003078258547008547,0.006296741452991453,0.0
972,300K9EE2,0.0014973958333333334,0.0016040943287037037,0.003101490162037037,0.0
973,300K9ZOUBM0X,0.001261574074074074,0.001255787037037037,0.0025173611111111113,0.0
974,300KR,0.00014467592592592592,0.00022183641975308642,0.00036651234567901237,0.0
975,300L1SVNZS,0.008685378086419754,0.008762538580246913,0.017447916666666667,0.0
976,300L9LO,2.8935185185185186e-05,0.00011574074074074075,0.00014467592592592592,0.0
977,300LNNQ,0.0022197420634920634,0.0020461309523809525,0.0042658730158730155,0.0
978,300M5K6,0.00047743055555555554,0.0006944444444444445,0.001171875,0.0
979,300M8,0.006563254830917875,0.006616092995169082,0.013149154589371981,3.0193236714975845e-05
980,300MG37AJVDNK3E,0.00043402777777777775,0.00043402777777777775,0.0008601641414141414,7.891414141414141e-06
981,300MZP6O9Y50PT,0.0008680555555555555,0.001736111111111111,0.0026041666666666665,0.0
982,300MZV,8.680555555555556e-05,0.00021701388888888888,0.00030381944444444445,0.0
983,300N3Y69V0,0.0015625,0.0012586805555555556,0.0028211805555555555,0.0
984,300N8TZVX4K9L,0.000390625,0.0009982638888888888,0.001388888888888889,0.0
985,300NMNBZL9X7,0.0016493055555555556,0.0019097222222222222,0.0035590277777777777,0.0
986,300NUK,0.03792401175213675,0.03843816773504274,0.0763621794871795,0.0
987,300O7NO,8.680555555555556e-05,0.00034722222222222224,0.00043402777777777775,0.0
988,300OBYAZ,2.8935185185185186e-05,8.680555555555556e-05,0.00011574074074074075,0.0
989,300OKVEBE07,0.0036979166666666666,0.004322916666666667,0.008020833333333333,0.0
990,300OQIQPWALTY,0.0023784722222222224,0.0022222222222222222,0.004600694444444445,0.0
991,300OR5SM0CGG1K,0.014031498015873016,0.013820684523809523,0.02755766369047619,0.0002945188492063492
992,300OW30ER,0.01896494708994709,0.019527116402116403,0.038492063492063494,0.0
993,300OXJTAFI37TXD,0.0034613715277777776,0.003396267361111111,0.006857638888888889,0.0
994,300OZ4ZXOIM6H,0.0007378472222222222,0.0008680555555555555,0.0016059027777777777,0.0
995,300OZ5JW,0.009540719696969697,0.010669191919191919,0.020209911616161615,0.0
