,Product,Date,account,inv_halflife_min
349,STF,2021-03-18,1268,289.80717963080684
350,STF,2021-03-18,126WID,151.50218845254471
351,STF,2021-03-18,126ZAQ39VIIU,128.7628775601809
352,STF,2021-03-18,554DBL6,219.50382006132864
353,STF,2021-03-19,042WY7UCV,619.844146895626
354,STF,2021-03-19,1265MMDIKQ6M2QH,252.46044991109233
355,STF,2021-03-19,12660HNF4CILP1,845.6340557240594
356,STF,2021-03-19,1268,119.27331245986686
357,STF,2021-03-19,126WID,380.16790600505004
358,STF,2021-03-19,126ZAQ39VIIU,160.30167192523123
359,STF,2021-03-19,554DBL6,101.10366534366864
360,STF,2021-03-21,042WY7UCV,172.33690121383395
361,STF,2021-03-21,1265MMDIKQ6M2QH,74.5348212011318
362,STF,2021-03-21,12660HNF4CILP1,105.66573061896369
363,STF,2021-03-21,1268,364.2475426142162
364,STF,2021-03-21,126WID,142.94035050319368
365,STF,2021-03-21,126ZAQ39VIIU,146.0926322119294
366,STF,2021-03-21,554DBL6,582.7413224615607
367,STF,2021-03-22,042WY7UCV,68.30411555247153
368,STF,2021-03-22,1265MMDIKQ6M2QH,37.26617943237021
369,STF,2021-03-22,12660HNF4CILP1,333.57789180224114
370,STF,2021-03-22,1268,254.1884739098402
371,STF,2021-03-22,126WID,387.85066983774175
372,STF,2021-03-22,126ZAQ39VIIU,487.1348622442637
373,STF,2021-03-22,554DBL6,1982.7301327755486
374,STF,2021-03-23,042WY7UCV,42.860020742001176
375,STF,2021-03-23,1265MMDIKQ6M2QH,384.7700946855046
376,STF,2021-03-23,12660HNF4CILP1,216.05706746296093
377,STF,2021-03-23,1268,617.0022272272572
378,STF,2021-03-23,126WID,328.09156372778057
379,STF,2021-03-23,126ZAQ39VIIU,100.32665299010928
380,STF,2021-03-23,554DBL6,280.18033779544766
381,STF,2021-03-24,042WY7UCV,94.13074547212437
382,STF,2021-03-24,12660HNF4CILP1,93.8056718853646
383,STF,2021-03-24,1268,166.68327366793858
384,STF,2021-03-24,126WID,97.22238806193509
385,STF,2021-03-24,126ZAQ39VIIU,229.43346426595483
386,STF,2021-03-24,554DBL6,231.43493101112523
387,STF,2021-03-25,042WY7UCV,97.92246412663084
388,STF,2021-03-25,12660HNF4CILP1,250.31608772060832
389,STF,2021-03-25,1268,106.55491905154452
390,STF,2021-03-25,126WID,268.1137525202745
391,STF,2021-03-25,126ZAQ39VIIU,271.0022344234424
392,STF,2021-03-25,554DBL6,109.30958701294782
