,account,externalSymbol,date,num_trades,NetPosition,StdInventory,eod,quantity
170,3007VB,TYGH21,20210315,1268.0,0.036619718309859155,0.020736374739801687,130.0,3550.0
171,300TY,TYGH21,20210315,4.0,0.1111111111111111,0.0479187985182761,1.0,9.0
172,168QGWEFLIC9,TYGH21,20210315,80.0,0.04564315352697095,0.04824133263249903,-11.0,241.0
173,3009,TYGH21,20210315,32.0,0.13636363636363635,0.0636194007242573,6.0,44.0
174,168KO9P68FC5YSG,TYGH21,20210315,2.0,0.0,0.0,0.0,4.0
175,168GQ,TYGH21,20210315,3.0,0.0,0.0,0.0,4.0
176,6949HVZ,TYGH21,20210315,28.0,0.1506849315068493,0.1694477828306179,11.0,73.0
177,455WTZB,TYGH21,20210315,41.0,0.07792207792207792,0.0619358974782421,12.0,154.0
178,3509L,TYGH21,20210315,2.0,1.0,0.4719454326394184,-9.0,9.0
179,08225WBJ9VGBW,TYGH21,20210315,5.0,0.2727272727272727,0.12904369729292278,-3.0,11.0
180,300SHA9,TYGH21,20210315,2.0,0.4,0.1897487613200753,-8.0,20.0
181,317J,TYGH21,20210315,2.0,1.0,0.4803844614152614,5.0,5.0
182,1680NSMLSCX8TPZ,TYGH21,20210315,97.0,0.06103286384976526,0.03505397256979547,-13.0,213.0
183,350S9Z,TYGH21,20210315,2.0,0.3333333333333333,0.26124414076553326,-1.0,3.0
184,082GDXU3XOI,TYGH21,20210315,69.0,0.26495726495726496,0.16755156440352972,31.0,117.0
185,118EKS,TYGH21,20210315,112.0,0.11194029850746269,0.10375032356834968,-30.0,268.0
186,1181U,TYGH21,20210315,42.0,0.3333333333333333,0.22915453295644525,-20.0,60.0
187,168JFTOR,TYGH21,20210315,31.0,0.23943661971830985,0.12620866651996626,-17.0,71.0
188,082OQG7HJ72,TYGH21,20210315,219.0,0.05181347150259067,0.0389284539557067,-20.0,386.0
189,082KANFZSM,TYGH21,20210315,538.0,0.04454976303317536,0.03741427617069018,-47.0,1055.0
190,317SPIK1Z6SKYO,TYGH21,20210315,40.0,0.09859154929577464,0.07443800119719887,7.0,71.0
191,1685BQ85,TYGH21,20210315,225.0,0.005964214711729622,0.021310325164989544,3.0,503.0
192,31776XGNJ,TYGH21,20210315,398.0,0.052054794520547946,0.04387084165745713,-38.0,730.0
193,036AF,TYGH21,20210315,279.0,0.12864493996569468,0.11998509706628416,-75.0,583.0
194,168E5HNXNGCIN51,TYGH21,20210315,266.0,0.028960817717206135,0.021070113436033454,-17.0,587.0
195,118WRZ7ISLG,TYGH21,20210315,11.0,0.06666666666666667,0.035859145288247976,-1.0,15.0
196,300WTE,TYGH21,20210315,146.0,0.017793594306049824,0.035109831677550114,5.0,281.0
197,036IV4QV,TYGH21,20210315,710.0,0.13584117032392895,0.10799717331602036,260.0,1914.0
198,1265MMDIKQ6M2QH,TYGH21,20210315,2897.0,0.021144732045205977,0.014748401618195786,116.0,5486.0
199,3002,TYGH21,20210315,2.0,0.2,0.11094003924504556,-1.0,5.0
200,300RDRQR1XKH1B,TYGH21,20210315,1.0,1.0,0.5577962213653481,-1.0,1.0
201,268F6BUAQT,TYGH21,20210315,1318.0,0.0009107468123861566,0.008281077947039186,4.0,4392.0
202,126XB2D00JHU8RU,TYGH21,20210315,294.0,0.004267425320056899,0.02058463887643729,3.0,703.0
203,561PO82GY,TYGH21,20210315,3.0,0.3333333333333333,0.22161544919604045,1.0,3.0
204,471JJI5,TYGH21,20210315,66.0,0.3278008298755187,0.20501745930588144,79.0,241.0
205,5617QXT,TYGH21,20210315,33.0,0.32558139534883723,0.23246800912782428,-28.0,86.0
206,036P6BZKVEON7ZD,TYGH21,20210315,160.0,0.12269938650306748,0.09273746603581823,-40.0,326.0
207,03801E4K,TYGH21,20210315,12.0,0.1836734693877551,0.30799974216874326,9.0,49.0
